funding_total_usd,count
25920000,1
2590000,1
2578524,1
257626,1
25732374,1
25700000,1
2569720,1
2569043,1
2569000,1
25654560,1
25652895,1
2564788,1
25518015,1
255100000,1
25500000,4
2550000,1
255000,1
25478613,1
2540206,1
25400000,1
2539200,1
253614965,1
2535000,1
253000,1
2525563,1
2524025,1
2520599,1
252000000,1
2518000,1
2512245,1
2511000,1
25090000,1
25071584,1
2502038,1
250000000,3
25000000,12
2500000,33
250000,56
25000,23
2500,2
24980307,1
24975000,1
24858097.54,1
2485000,1
24845955,1
248000000,2
24750000,1
24661724,1
24600000,3
245750000,1
24522872,1
24500100,1
2450000,4
2449500,1
2449019,1
2444718,1
2440000,1
2435460,1
2435000,1
2432351,1
24306925,1
24250000,1
242500,1
241903,1
24100000,1
24020000,1
24000000,4
2400000,6
240000,2
24000,2
239981,1
2394820000,1
2389999,1
2380000,2
2374979,1
2373920,1
237338,1
23692500,1
23660962,1
23660000,1
2358985,1
23522,1
23500000,2
2350000,1
23499999,1
234705,1
23466222,1
234305,1
2341414,1
2338650,1
23300000,1
2325000,1
2323000,1
23204000,1
2320000,1
2317000,1
2310008,1
23100000,1
2306560,1
23000000,10
2300000,9
230000,1
22999999,1
22999079,1
22950,1
22918631,1
22900000,1
22813005,1
22800000,2
2275000,1
2274716,1
22720522,1
227049900,1
22700000,1
22623720,1
2261000,1
2260000,1
22585000,1
225828977,1
2254193,1
2250180,1
225000000,2
22500000,5
2250000,3
225000,4
2249999,1
22465006,1
2246171,1
22400000,1
2238677,1
223625355,1
22325000,1
22300000,1
2227000,1
22220043,1
2213123,1
221000000,1
2206000,1
2205000,1
220260000,1
220000000,1
22000000,3
2200000,7
220000,1
2195355,1
21948190,1
21929020,1
217708,1
21750000,1
21725000,1
21700000,1
2161671,1
216000,1
215539,1
21553364,1
2155050,1
2152000,1
21500004,1
21500000,1
2150000,2
215000,1
2145715,1
2142961,1
214208700,1
21401781,1
2139250,1
21376001,1
2134999,1
2132476,1
21269417,1
2121750,1
212135,1
21200000,1
2115176,1
2106889,1
21009963,1
210082,1
210000000,1
21000000,4
2100000,13
210000,3
209999,1
20995129,1
2094063,1
20900000,2
20900,1
208949997,1
20825000,1
207500000,1
20750000,1
2075000,1
2065000,1
206050000,1
20600000,1
206000,1
205920,1
2056426,1
205032,1
20500000,1
2050000,2
20469183,1
20454,1
204189,1
20369775,1
20366453,1
20350000,1
20340000,1
20265,1
20250000,1
2025000,1
20224999,1
202125,1
20159162,1
2015106,1
2015000,1
20118,1
20068328.45,1
20047324,1
20025000,1
200000000,2
20000000,24
2000000,69
200000,28
20000,24
2000,1
1999998,1
1998000,1
19955000,1
19950000,1
1995000,1
19932595,1
19889,1
198500000,1
198216,1
198177362.6,1
19814760,1
19800000,1
197500000,1
1971253,1
1969350,1
19670000,1
1964996,1
196079,1
1960315,1
1960000,1
195858,1
19567500,1
1955250,1
1955000,1
19525000,1
19515,1
195072,1
1950450,1
19500000,1
1950000,2
195000,1
1946775,1
19427954,1
1940000,1
193727869,1
1933105,1
1931647,1
19311,1
193000000,1
1925000,1
1921592,1
1918089,1
1916040,1
19148000,1
1908820,1
190624633,1
19044025,1
1900800,1
190035,1
190000000,1
19000000,2
1900000,3
190000,2
1895233,1
18900000,1
18826300,1
18800000,1
1880000,1
1878538,1
1875000,2
18745880,1
187291,1
1865000,1
186036236,1
186000000,1
18584,1
1856869,1
1856685,1
18527468,1
18522536,1
18500000,3
1850000,1
185000,2
18420305,1
184052388,1
1835140,1
1829284,1
182600000,1
181860000,1
1815000,1
18121600,1
1811321,1
18100000,1
1805230,1
180500000,1
180187,1
18015,1
18001241.46,1
18000000,2
1800000,12
180000,3
18000,2
1799683,1
178559,1
178540,1
178535,1
17825489,1
17807000,1
17800000,2
17776000,1
177683533,1
1775000,1
17720000,1
1770000,2
176988,1
17681234,1
1767000,1
1765800,1
17650000,1
1762800,1
176275000,1
17600000,1
175463420,1
17506428,1
175000000,1
17500000,1
1750000,5
175000,5
17415364,1
1741241,1
17408,1
17400000,2
1740000,1
1737170,1
173500000,1
1732382,1
173000000,1
17300000,1
1729000000,1
17200000,3
1719583,1
17194549,1
171600000,1
17136,1
17129760,1
171140000,1
1710000,1
17087500,1
17025000,1
17000000,4
1700000,13
170000,1
17000,1
16958397,1
169500000,1
1694742,1
16940000,1
1693138,1
16925741,1
169020,1
1684764.312,1
1681068,1
168000000,1
168000,2
167856,1
167163877.3,1
167000000,1
16700000,1
1670000,3
167000,1
16680511,1
1667200,1
1666340,1
1664999,1
1663801.119,1
1660000,1
166000,1
165992,1
16579175,1
165000000,1
16500000,2
1650000,3
165000,2
1647446,1
1643849,1
1642500,1
16424363,1
1640000,1
16399999,1
16377078,1
16350000,1
1634615,1
1633000,1
163000000,2
16274967,1
1626000,1
1625499,1
1625039,1
162500,1
16236400,1
162364,1
16211800,1
162000,1
16190000,1
16151237,1
1613014,1
1612500,1
161211.1615,1
161200000,1
1611610,1
16111323,1
1610541,1
16100000,1
161000,1
1609173,1
16036000,1
160279779,1
16000000,10
1600000,6
160000,1
15999994,1
15980000,1
15906680,1
158865,1
15873,1
15800000,2
158000,1
1574000,1
1573976,1
1573650,1
157000,1
156858,1
1567000,1
1565000,1
15600000,1
1560000,1
15590000,1
15589114,1
1557700,1
1556687,1
1552627,1
15515000,1
155000000,1
15500000,2
1550000,2
155000,1
15470704,1
15458196,1
154400000,1
1543920,1
154000000,1
15400000,4
1540000,1
153721622,1
15350009,1
15350000,1
1535000,1
1534897,1
15290000,1
1528000,1
1525000,2
152500,1
1523000,1
15200000,1
151978,1
15196305,1
1515251,1
1514985,1
151250000,1
1511444,1
1510005,1
150910788,1
15067850,1
150594138,1
150500000,1
15034750,1
1500321,1
15000297,1
1500010,1
150000000,2
15000000,22
1500000,52
150000,21
15000,6
149938635,1
149549,1
1495000,1
149499995,1
149465921,1
14932985.36,1
148000000,1
1474718,1
14732412,1
1470551,1
147000,1
1468163,1
14660000,1
1465000,1
1464128,1
1463892,1
145932588,1
1458786,1
14578729,1
145774,1
145562,1
14500000,3
1450000,2
145000,2
14450000,1
144400000,1
144000000,1
1440000,1
144,1
14350000,3
143493604,1
143380947,1
14300000,2
1430000,1
142825000,1
142765,1
14253000,1
142367,1
141750000,1
14168,1
141636023,1
1415260,1
14037121,1
14000000,12
1400000,8
140000,7
139500000,1
13949454,1
1394250,1
13909650,1
13900000,1
1387500,1
138581610,1
138012000,1
13800000,1
13793098,1
137847684,1
137500000,1
13750000,1
137500,1
1372725,1
13714382,1
13700000,1
1370000,1
1368157,1
136200000,1
136000000,2
13600000,3
135776263,1
135585460,1
1353678,1
13500150,1
135000000,2
13500000,5
1350000,4
135000,2
1347305,1
1347000,1
13463445,1
1346153,1
1345863,1
13456610,1
13425000,1
1342000000,1
13410901,1
13400000,1
1340000,1
13382106,1
133620,1
13345000,1
133314585,1
133149345,1
133000000,1
13292327,1
13276082,1
13274403,1
13261453,1
13250001,1
132500,1
132000000,1
13200000,1
1315000,1
1313760,1
1313100,1
13125000,1
131000000,1
13100000,2
130861,1
13065000,1
130636,1
130552663,1
13023790,1
13001842,1
13000341,1
13000000,7
1300000,14
130000,4
1299826,1
1299787,1
12989,1
1298798,1
129679,1
129100000,1
129000000,2
12900000,3
1290000,1
12879637,1
12868200,1
12853396,1
12850000,1
128477567,1
128352074,1
12800000,1
1280000,1
127890,1
1278215,1
1277500,1
12750000,1
12743133,1
1273000,1
1272199,1
12700000,1
1270000,1
1268376,1
126457.4218,1
126180,1
126134082,1
1260228,1
126000000,1
1260000,1
125796572,1
125439500,1
125204369,1
12516053,1
125001,1
125000000,2
12500000,5
1250000,9
125000,13
1249999,1
1249990,1
124690,1
1245092,1
